slot,timestamp,action_count,adds,removes,actions,placement_before,placement_after,demand,attachment_points,total_requests,demand_pairs,covered_pairs_after,uncovered_pairs_after,coverage_ratio_after,objective,R_nominal,B_nominal,R_wc,B_wc,Op_cost,solve_time,status
519,518,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,3@2=1;3@4=1;4@4=1;7@4=2;8@2=2;8@9=1,"2,4,9",8,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
520,519,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,0@0=1;3@2=2;3@3=1;5@1=2;5@4=1;5@5=1;5@7=1;6@5=1;7@2=1;7@3=1;8@4=2;8@5=1;8@9=1,"0,2,3,1,4,5,7,9",16,13,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
521,520,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,1@4=1;2@3=1;2@6=1;2@9=1;3@6=1;3@2=1;3@5=2;4@2=1;4@0=1;5@2=1;6@4=1;7@8=1;8@4=1;8@3=1;8@9=1;8@2=2;8@5=1;8@0=1;8@8=3,"4,3,6,9,2,5,0,8",23,19,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
522,521,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,1@3=1;1@4=1;2@3=1;2@4=2;2@2=1;2@8=1;3@3=1;4@7=1;5@5=1;5@9=1;7@3=1;8@4=2;8@2=1;8@9=1;8@0=2;8@1=4,"3,4,2,8,7,5,9,0,1",22,16,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
523,522,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,0@9=1;1@4=2;1@5=1;2@1=1;2@3=1;3@9=1;3@4=1;3@0=1;4@5=1;4@1=1;4@3=1;4@0=1;5@4=2;5@2=1;6@2=1;7@4=1;7@6=1;8@4=2;8@1=1;8@0=2;8@8=2,"9,4,5,1,3,0,2,6,8",26,21,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
524,523,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,2@3=1;3@5=1;3@7=1;3@8=2;4@0=1;5@1=1;5@9=1;7@2=1;8@8=1;8@2=1;8@4=1;8@6=1,"3,5,7,8,0,1,9,2,4,6",13,12,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
525,524,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,1@3=1;2@3=1;2@0=1;2@1=1;2@4=1;3@5=1;4@2=1;4@6=1;5@3=1;7@3=1;7@4=1;7@6=1;8@1=2;8@6=1;8@7=1,"3,0,1,4,5,2,6,7",16,15,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
526,525,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,3@2=1;3@6=1;4@1=1;5@5=1;5@8=1;7@9=1,"2,6,1,5,8,9",6,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
527,526,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@6=1;5@0=1;8@0=1;8@2=1;8@4=1,"6,0,2,4",5,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
528,527,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,1@8=1;2@1=1;2@2=2;2@4=1;2@5=1;3@1=1;3@4=1;3@7=1;4@8=1;4@1=1;5@2=2;5@9=1;7@1=2;7@9=1;7@6=1;8@0=2,"8,1,2,4,5,7,9,6,0",20,16,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
529,528,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,1@1=1;1@7=1;2@1=1;2@7=2;2@0=1;2@2=1;2@4=2;2@6=1;3@5=2;4@2=2;4@4=1;5@1=2;5@3=1;6@1=1;7@5=1;8@9=3,"1,7,0,2,4,6,5,3,9",23,16,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
530,529,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,1@0=1;1@5=1;2@3=2;2@4=1;2@8=1;3@9=1;4@1=1;7@4=1;7@1=1;8@2=1,"0,5,3,4,8,9,1,2",11,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
531,530,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,0@0=1;0@4=1;0@9=1;1@3=1;2@9=1;2@1=2;2@6=1;3@3=1;4@0=1;4@4=1;4@9=1;4@2=1;4@7=1;5@1=1;5@7=1;6@3=1;7@1=1;7@2=1;7@5=1;8@0=1;8@9=1;8@8=1,"0,4,9,3,1,6,2,7,5,8",23,22,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
532,531,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,1@4=1;2@4=1;2@0=1;2@1=1;2@7=1;3@4=1;3@3=1;3@5=1;4@1=1;4@2=1;5@2=1;8@1=1;8@3=1;8@6=1,"4,0,1,7,3,5,2,6",14,14,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
533,532,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,2@2=1;2@7=1;2@9=1;7@4=1;8@4=1;8@1=1,"2,7,9,4,1",6,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
534,533,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@4=1;5@6=1;5@8=1;5@9=1;8@1=2;8@2=1;8@3=2,"4,6,8,9,1,2,3",9,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
535,534,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,3@1=1;3@4=1;3@7=1;4@5=1;4@8=1;5@2=1;7@5=1;8@2=2;8@0=1;8@6=1,"1,4,7,5,8,2,0,6",11,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
536,535,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,1@4=1;1@5=1;1@8=1;3@4=2;3@2=1;4@2=1;5@4=1;5@2=1;6@4=1;7@2=1;7@0=1;8@2=1;8@3=1;8@7=1,"4,5,8,2,0,3,7",15,14,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
537,536,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,1@3=1;3@1=1;3@4=1;4@4=1;4@2=1;7@7=1;8@1=1;8@7=1;8@0=1;8@5=2,"3,1,4,2,7,0,5",11,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
538,537,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,0@1=1;0@8=1;1@2=1;4@1=1;5@1=1;5@2=1;5@3=1;5@4=1;7@1=1;7@3=1;8@1=1;8@2=2;8@4=1,"1,8,2,3,4",14,13,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
539,538,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,0@2=2;0@3=1;0@7=1;1@2=1;3@4=1;5@2=1;5@9=1;8@8=1,"2,3,7,4,9,8",9,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
540,539,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,3@6=1;4@0=1;4@2=1;5@4=1;5@5=1;6@2=1;6@5=1;8@2=1;8@4=1;8@3=1;8@7=1,"6,0,2,4,5,3,7",11,11,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
541,540,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,0@4=1;1@1=1;3@0=1;3@9=1;5@7=1;8@4=1;8@2=1,"4,1,0,9,7,2",7,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
542,541,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,0@2=1;0@6=1;4@2=1;4@4=1;5@6=1;5@9=1;7@4=1;7@0=1;7@1=1;7@3=1;7@5=1;8@2=1;8@6=2;8@0=1;8@7=1,"2,6,4,9,0,1,3,5,7",16,15,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
543,542,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,2@1=1;2@2=1;2@4=1;2@5=1;2@9=1;3@4=1;4@2=1;5@2=1;5@0=1;5@3=1;5@8=1;7@9=1;7@7=1;8@1=1;8@5=1;8@8=1;8@7=1;8@6=1,"1,2,4,5,9,0,3,8,7,6",18,18,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
544,543,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,0@1=1;0@2=1;0@4=1;1@4=1;1@0=1;1@9=1;2@2=1;2@8=1;4@4=2;4@6=1;5@2=2;5@4=2;5@6=1;5@5=1;7@8=1;7@5=1;8@4=1;8@6=1,"1,2,4,0,9,8,6,5",21,18,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
545,544,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,0@3=1;0@4=1;0@7=1;0@9=1;1@4=1;1@7=1;1@1=1;1@5=1;2@4=1;2@1=1;2@2=1;2@6=1;2@8=1;4@4=1;5@8=1;6@2=1;7@7=1;8@9=1;8@2=2,"3,4,7,9,1,5,2,6,8",20,19,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
546,545,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,3@4=1;4@4=1;4@7=1;5@4=1;8@4=1;8@7=1,"4,7",6,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
547,546,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,1@9=1;3@4=1;4@5=1;7@2=1,"9,4,5,2",4,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
548,547,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,3@4=3;3@9=1;4@3=1;5@4=1;7@2=1;8@0=1,"4,9,3,2,0",8,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
549,548,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,1@2=1;3@1=1;4@3=1;4@8=1;5@2=1;5@8=1;7@8=2;7@4=2;7@9=1;8@4=3,"2,1,3,8,4,9",14,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
550,549,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,0@9=1;1@2=1;1@4=1;1@5=1;3@9=1;3@2=1;3@5=1;3@1=1;3@8=1;4@9=1;4@2=1;4@4=1;5@2=1;5@4=2;5@5=1;7@6=1;8@1=1,"9,2,4,5,1,8,6",18,17,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
551,550,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,1@6=1;2@9=1;3@6=1;3@4=1;4@4=1;4@3=1;5@3=1;5@0=1;5@1=2;5@7=2;5@8=1;7@4=1;7@2=2;8@1=1;8@7=1;8@2=2;8@5=1,"6,9,4,3,0,1,7,8,2,5",21,17,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
552,551,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,1@9=1;3@2=1;4@9=1;4@2=1;5@9=1;5@0=1;5@6=1;7@4=1;8@4=1;8@1=1;8@7=1,"9,2,0,6,4,1,7",11,11,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
553,552,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,0@2=1;5@3=1;5@7=1;7@3=1;7@0=1;8@2=1;8@0=1;8@4=1;8@6=1;8@9=1,"2,3,7,0,4,6,9",10,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
554,553,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,3@3=1;5@3=1;7@6=1,"3,6",3,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
555,554,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@8=1;5@8=1;5@4=1;7@2=1;8@8=1;8@2=2;8@1=1;8@5=2;8@7=1,"8,4,2,1,5,7",11,9,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
556,555,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,2@2=1;3@4=1;4@0=1;4@6=1;5@4=2;5@0=1;7@2=2;7@4=1;7@0=1;7@6=1;8@4=2;8@6=1;8@1=2;8@5=2;8@7=1,"2,4,0,6,1,5,7",20,15,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
557,556,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,1@0=1;1@1=1;1@2=1;1@9=1;3@4=2;3@8=1;4@2=1;4@4=1;5@0=1;7@1=1;7@3=1;8@1=2;8@2=1;8@4=2;8@8=2,"0,1,2,9,4,8,3",19,15,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
558,557,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,1@6=1;3@7=1;4@2=1;4@8=1;5@3=1;7@3=1;8@2=2;8@3=2;8@1=1;8@4=1;8@5=1,"6,7,2,8,3,1,4,5",13,11,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
559,558,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,1@9=1;4@2=1;4@4=2;6@5=1;8@8=1,"9,2,4,5,8",6,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
560,559,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,0@1=1;0@4=1;0@6=1;0@9=1;3@1=1;3@9=1;3@0=1;4@1=1;4@4=2;4@3=1;5@2=1;6@1=2;6@4=1;6@0=1;7@2=1;8@8=1,"1,4,6,9,0,3,2,8",18,16,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
561,560,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,0@2=2;0@4=2;0@6=1;3@1=1;3@9=1;5@9=1;5@5=1;7@2=1;7@1=1;7@5=1;8@2=2;8@4=1;8@5=1,"2,4,6,1,9,5",16,13,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
562,561,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,0@1=1;0@2=1;0@4=1;0@6=1;0@8=2;1@6=1;4@9=2;5@9=1;7@1=1;8@4=2;8@5=1;8@7=1,"1,2,4,6,8,9,5,7",15,12,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
563,562,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,0@1=1;0@2=1;0@4=2;0@7=1;0@8=3;3@7=1;4@2=1;4@4=1;5@1=1;5@4=1;6@1=1;8@1=1;8@2=1;8@8=1;8@5=1,"1,2,4,7,8,5",18,15,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
564,563,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,0@0=1;0@1=1;0@4=1;0@5=1;0@6=1;0@9=1;1@1=1;4@4=1;4@5=1;4@9=1;5@5=1;5@9=1;7@4=1;8@9=1;8@2=2,"0,1,4,5,6,9,2",16,15,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
565,564,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,0@0=2;0@2=1;0@3=2;0@4=2;0@5=2;3@0=1;3@4=1;4@3=1;4@4=1;5@4=1;5@7=1;5@8=1;6@4=1;7@5=1;8@7=1;8@6=1;8@9=1,"0,2,3,4,5,7,8,6,9",21,17,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
566,565,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,0@1=1;0@2=2;0@4=1;0@8=1;1@8=1;1@5=1;1@9=1;3@3=1;4@4=2;4@9=1;5@1=1;5@2=2;5@4=1;5@8=1;5@9=1;5@6=2;7@6=1;7@0=1;8@8=1;8@9=1,"1,2,4,8,5,9,3,6,0",24,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
567,566,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,0@0=1;0@1=1;0@2=2;0@4=1;0@6=1;0@9=1;2@1=1;2@2=1;2@8=1;3@4=1;4@4=1;7@9=1;8@2=3;8@6=1;8@5=1,"0,1,2,4,6,9,8,5",18,15,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
